El caso (1,) tomó 0 flips.
El caso (1, 2) tomó 0 flips.
El caso (2, 1) tomó 1 flips.
El caso (2, 1, 4, 5, 6, 3) tomó 3 flips.
El caso (2, 1, 4, 6, 3, 5) tomó 5 flips.
El caso (2, 1, 4, 6, 5, 3) tomó 4 flips.
El caso (2, 1, 5, 3, 4, 6) tomó 3 flips.
El caso (2, 1, 5, 3, 6, 4) tomó 5 flips.
El caso (2, 1, 5, 4, 3, 6) tomó 4 flips.
El caso (2, 1, 5, 4, 6, 3) tomó 5 flips.
El caso (2, 1, 5, 6, 3, 4) tomó 3 flips.
El caso (2, 1, 5, 6, 4, 3) tomó 4 flips.
El caso (2, 1, 6, 3, 4, 5) tomó 3 flips.
El caso (2, 1, 6, 3, 5, 4) tomó 4 flips.
El caso (2, 1, 6, 4, 3, 5) tomó 5 flips.
El caso (2, 1, 6, 4, 5, 3) tomó 5 flips.
El caso (2, 1, 6, 5, 3, 4) tomó 4 flips.
El caso (2, 1, 6, 5, 4, 3) tomó 4 flips.
El caso (2, 3, 1, 4, 5, 6) tomó 2 flips.
El caso (2, 3, 1, 4, 6, 5) tomó 5 flips.
El caso (2, 3, 1, 5, 4, 6) tomó 4 flips.
El caso (2, 3, 1, 5, 6, 4) tomó 4 flips.
El caso (2, 3, 1, 6, 4, 5) tomó 4 flips.
El caso (2, 3, 1, 6, 5, 4) tomó 5 flips.
El caso (2, 3, 4, 1, 5, 6) tomó 2 flips.
El caso (2, 3, 4, 1, 6, 5) tomó 4 flips.
El caso (2, 3, 4, 5, 1, 6) tomó 2 flips.
El caso (2, 3, 4, 5, 6, 1) tomó 2 flips.
El caso (2, 3, 4, 6, 1, 5) tomó 4 flips.
El caso (2, 3, 4, 6, 5, 1) tomó 3 flips.
El caso (2, 3, 5, 1, 4, 6) tomó 4 flips.
El caso (2, 3, 5, 1, 6, 4) tomó 5 flips.
El caso (2, 3, 5, 4, 1, 6) tomó 3 flips.
El caso (2, 3, 5, 4, 6, 1) tomó 5 flips.
El caso (2, 3, 5, 6, 1, 4) tomó 4 flips.
El caso (2, 3, 5, 6, 4, 1) tomó 4 flips.
El caso (2, 3, 6, 1, 4, 5) tomó 4 flips.
El caso (2, 3, 6, 1, 5, 4) tomó 5 flips.
El caso (2, 3, 6, 4, 1, 5) tomó 5 flips.
El caso (2, 3, 6, 4, 5, 1) tomó 4 flips.
El caso (2, 3, 6, 5, 1, 4) tomó 5 flips.
El caso (2, 3, 6, 5, 4, 1) tomó 3 flips.
El caso (2, 4, 1, 3, 5, 6) tomó 4 flips.
El caso (2, 4, 1, 3, 6, 5) tomó 6 flips.
El caso (2, 4, 1, 5, 3, 6) tomó 5 flips.
El caso (2, 4, 1, 5, 6, 3) tomó 5 flips.
El caso (2, 4, 1, 6, 3, 5) tomó 6 flips.
El caso (2, 4, 1, 6, 5, 3) tomó 6 flips.
El caso (2, 4, 3, 1, 5, 6) tomó 3 flips.
El caso (2, 4, 3, 1, 6, 5) tomó 5 flips.
El caso (2, 4, 3, 5, 1, 6) tomó 5 flips.
El caso (2, 4, 3, 5, 6, 1) tomó 5 flips.
El caso (2, 4, 3, 6, 1, 5) tomó 5 flips.
El caso (2, 4, 3, 6, 5, 1) tomó 5 flips.
El caso (2, 4, 5, 1, 3, 6) tomó 4 flips.
El caso (2, 4, 5, 1, 6, 3) tomó 5 flips.
El caso (2, 4, 5, 3, 1, 6) tomó 4 flips.
El caso (2, 4, 5, 3, 6, 1) tomó 5 flips.
El caso (2, 4, 5, 6, 1, 3) tomó 4 flips.
El caso (2, 4, 5, 6, 3, 1) tomó 4 flips.
El caso (2, 4, 6, 1, 3, 5) tomó 6 flips.
El caso (2, 4, 6, 1, 5, 3) tomó 6 flips.
El caso (2, 4, 6, 3, 1, 5) tomó 6 flips.
El caso (2, 4, 6, 3, 5, 1) tomó 6 flips.
El caso (2, 4, 6, 5, 1, 3) tomó 5 flips.
El caso (2, 4, 6, 5, 3, 1) tomó 5 flips.
El caso (2, 5, 1, 3, 4, 6) tomó 4 flips.
El caso (2, 5, 1, 3, 6, 4) tomó 6 flips.
El caso (2, 5, 1, 4, 3, 6) tomó 5 flips.
El caso (2, 5, 1, 4, 6, 3) tomó 6 flips.
El caso (2, 5, 1, 6, 3, 4) tomó 5 flips.
El caso (2, 5, 1, 6, 4, 3) tomó 5 flips.
El caso (2, 5, 3, 1, 4, 6) tomó 5 flips.
El caso (2, 5, 3, 1, 6, 4) tomó 6 flips.
El caso (2, 5, 3, 4, 1, 6) tomó 4 flips.
El caso (2, 5, 3, 4, 6, 1) tomó 5 flips.
El caso (2, 5, 3, 6, 1, 4) tomó 6 flips.
El caso (2, 5, 3, 6, 4, 1) tomó 6 flips.
El caso (2, 5, 4, 1, 3, 6) tomó 4 flips.
El caso (2, 5, 4, 1, 6, 3) tomó 5 flips.
El caso (2, 5, 4, 3, 1, 6) tomó 3 flips.
El caso (2, 5, 4, 3, 6, 1) tomó 5 flips.
El caso (2, 5, 4, 6, 1, 3) tomó 6 flips.
El caso (2, 5, 4, 6, 3, 1) tomó 5 flips.
El caso (2, 5, 6, 1, 3, 4) tomó 4 flips.
El caso (2, 5, 6, 1, 4, 3) tomó 5 flips.
El caso (2, 5, 6, 3, 1, 4) tomó 5 flips.
El caso (2, 5, 6, 3, 4, 1) tomó 5 flips.
El caso (2, 5, 6, 4, 1, 3) tomó 5 flips.
El caso (2, 5, 6, 4, 3, 1) tomó 4 flips.
El caso (2, 6, 1, 3, 4, 5) tomó 4 flips.
El caso (2, 6, 1, 3, 5, 4) tomó 5 flips.
El caso (2, 6, 1, 4, 3, 5) tomó 6 flips.
El caso (2, 6, 1, 4, 5, 3) tomó 5 flips.
El caso (2, 6, 1, 5, 3, 4) tomó 5 flips.
El caso (2, 6, 1, 5, 4, 3) tomó 5 flips.
El caso (2, 6, 3, 1, 4, 5) tomó 5 flips.
El caso (2, 6, 3, 1, 5, 4) tomó 6 flips.
El caso (2, 6, 3, 4, 1, 5) tomó 5 flips.
El caso (2, 6, 3, 4, 5, 1) tomó 4 flips.
El caso (2, 6, 3, 5, 1, 4) tomó 6 flips.
El caso (2, 6, 3, 5, 4, 1) tomó 5 flips.
El caso (2, 6, 4, 1, 3, 5) tomó 6 flips.
El caso (2, 6, 4, 1, 5, 3) tomó 6 flips.
El caso (2, 6, 4, 3, 1, 5) tomó 5 flips.
El caso (2, 6, 4, 3, 5, 1) tomó 5 flips.
El caso (2, 6, 4, 5, 1, 3) tomó 6 flips.
El caso (2, 6, 4, 5, 3, 1) tomó 6 flips.
El caso (2, 6, 5, 1, 3, 4) tomó 4 flips.
El caso (2, 6, 5, 1, 4, 3) tomó 5 flips.
El caso (2, 6, 5, 3, 1, 4) tomó 5 flips.
El caso (2, 6, 5, 3, 4, 1) tomó 4 flips.
El caso (2, 6, 5, 4, 1, 3) tomó 4 flips.
El caso (2, 6, 5, 4, 3, 1) tomó 3 flips.
El caso (3, 1, 2, 4, 5, 6) tomó 2 flips.
El caso (3, 1, 2, 4, 6, 5) tomó 5 flips.
El caso (3, 1, 2, 5, 4, 6) tomó 4 flips.
El caso (3, 1, 2, 5, 6, 4) tomó 4 flips.
El caso (3, 1, 2, 6, 4, 5) tomó 4 flips.
El caso (3, 1, 2, 6, 5, 4) tomó 5 flips.
El caso (3, 1, 4, 2, 5, 6) tomó 4 flips.
El caso (3, 1, 4, 2, 6, 5) tomó 6 flips.
El caso (3, 1, 4, 5, 2, 6) tomó 4 flips.
El caso (3, 1, 4, 5, 6, 2) tomó 4 flips.
El caso (3, 1, 4, 6, 2, 5) tomó 6 flips.
El caso (3, 1, 4, 6, 5, 2) tomó 5 flips.
El caso (3, 1, 5, 2, 4, 6) tomó 5 flips.
El caso (3, 1, 5, 2, 6, 4) tomó 6 flips.
El caso (3, 1, 5, 4, 2, 6) tomó 5 flips.
El caso (3, 1, 5, 4, 6, 2) tomó 6 flips.
El caso (3, 1, 5, 6, 2, 4) tomó 5 flips.
El caso (3, 1, 5, 6, 4, 2) tomó 5 flips.
El caso (3, 1, 6, 2, 4, 5) tomó 5 flips.
El caso (3, 1, 6, 2, 5, 4) tomó 6 flips.
El caso (3, 1, 6, 4, 2, 5) tomó 6 flips.
El caso (3, 1, 6, 4, 5, 2) tomó 5 flips.
El caso (3, 1, 6, 5, 2, 4) tomó 5 flips.
El caso (3, 1, 6, 5, 4, 2) tomó 5 flips.
El caso (3, 2, 1, 4, 5, 6) tomó 1 flips.
El caso (3, 2, 1, 4, 6, 5) tomó 4 flips.
El caso (3, 2, 1, 5, 4, 6) tomó 3 flips.
El caso (3, 2, 1, 5, 6, 4) tomó 3 flips.
El caso (3, 2, 1, 6, 4, 5) tomó 3 flips.
El caso (3, 2, 1, 6, 5, 4) tomó 4 flips.
El caso (3, 2, 4, 1, 5, 6) tomó 3 flips.
El caso (3, 2, 4, 1, 6, 5) tomó 5 flips.
El caso (3, 2, 4, 5, 1, 6) tomó 3 flips.
El caso (3, 2, 4, 5, 6, 1) tomó 3 flips.
El caso (3, 2, 4, 6, 1, 5) tomó 5 flips.
El caso (3, 2, 4, 6, 5, 1) tomó 4 flips.
El caso (3, 2, 5, 1, 4, 6) tomó 4 flips.
El caso (3, 2, 5, 1, 6, 4) tomó 5 flips.
El caso (3, 2, 5, 4, 1, 6) tomó 4 flips.
El caso (3, 2, 5, 4, 6, 1) tomó 5 flips.
El caso (3, 2, 5, 6, 1, 4) tomó 5 flips.
El caso (3, 2, 5, 6, 4, 1) tomó 5 flips.
El caso (3, 2, 6, 1, 4, 5) tomó 4 flips.
El caso (3, 2, 6, 1, 5, 4) tomó 5 flips.
El caso (3, 2, 6, 4, 1, 5) tomó 5 flips.
El caso (3, 2, 6, 4, 5, 1) tomó 5 flips.
El caso (3, 2, 6, 5, 1, 4) tomó 4 flips.
El caso (3, 2, 6, 5, 4, 1) tomó 4 flips.
El caso (3, 4, 1, 2, 5, 6) tomó 3 flips.
El caso (3, 4, 1, 2, 6, 5) tomó 5 flips.
El caso (3, 4, 1, 5, 2, 6) tomó 4 flips.
El caso (3, 4, 1, 5, 6, 2) tomó 4 flips.
El caso (3, 4, 1, 6, 2, 5) tomó 6 flips.
El caso (3, 4, 1, 6, 5, 2) tomó 5 flips.
